SCATS Number,Nickname
970,WarrigalHighStreet
2000,WarrigalToorak
2200,UnionMaroondah
2820,EarlPrincess
2825,BurkeEastern
2827,BulleenThompsons
2846,S.e.arterialHigh
3001,HighBarkers
3002,DenmarkBarkers
3120,BurkeCanterbury
3122,CanterburyStanhope_gv
3126,CanterburyWarrigal
3127,BalwynCanterbury
3180,DoncasterBalwyn
3662,PrincessHigh
3682,WarrigalRiversdale
3685,WarrigalHighbury
3804,TrafalgarRiversdale
3812,TrafalgarCamberwell
4030,BurkeDoncaster
4032,BurkeHarp
4034,BurkeWhitehorse
4035,BurkeMontAlbert
4040,BurkeRiversdale
4043,BurkeToorak
4051,DoncasterBulleen
4057,BalwynBelmore
4063,BalwynWhitehorse
4262,BridgeBurwood
4263,PowerBurwood
4264,GlenferrieBurwood
4266,AuburnBurwood
4270,GlenferrieRiversdale
4272,RiversdaleTooronga
4273,ToorongaToorak
4321,HighHarp
4324,CothamGlenferrie
4335,HighCharles
4812,SwanMadden_gv
4821,WalmerVictoria
