SCATS Number,Location,Main Road,Direction,Cross Road
970,WARRIGAL_RD N of HIGH STREET_RD,WARRIGAL_RD,N,HIGH STREET_RD
970,HIGH STREET_RD E of WARRIGAL_RD,HIGH STREET_RD,E,WARRIGAL_RD
970,WARRIGAL_RD S of HIGH STREET_RD,WARRIGAL_RD,S,HIGH STREET_RD
970,HIGH STREET_RD W of WARRIGAL_RD,HIGH STREET_RD,W,WARRIGAL_RD
2000,WARRIGAL_RD N of TOORAK_RD,WARRIGAL_RD,N,TOORAK_RD
2000,BURWOOD_HWY E of WARRIGAL_RD,BURWOOD_HWY,E,WARRIGAL_RD
2000,WARRIGAL_RD S of BURWOOD_HWY,WARRIGAL_RD,S,BURWOOD_HWY
2000,TOORAK_RD W of WARRIGAL_RD,TOORAK_RD,W,WARRIGAL_RD
2200,UNION_RD N of MAROONDAH_HWY,UNION_RD,N,MAROONDAH_HWY
2200,MAROONDAH_HWY E of UNION_RD,MAROONDAH_HWY,E,UNION_RD
2200,UNION_RD S of MAROONDAH_HWY,UNION_RD,S,MAROONDAH_HWY
2200,MAROONDAH_HWY W of UNION_RD,MAROONDAH_HWY,W,UNION_RD
2820,EARL_ST SE of PRINCESS_ST,EARL_ST,SE,PRINCESS_ST
2820,PRINCESS_ST S of CHANDLER_HWY,PRINCESS_ST,S,CHANDLER_HWY
2825,BURKE_RD S of EASTERN_FWY,BURKE_RD,S,EASTERN_FWY
2827,BULLEEN_RD N of THOMPSONS_RD,BULLEEN_RD,N,THOMPSONS_RD
2827,OFFRAMP_EASTERN_FWY E of BULLEEN_RD,OFFRAMP_EASTERN_FWY,E,BULLEEN_RD
2827,BULLEEN_RD S of EASTERN_FWY_W_BD_RAMPS,BULLEEN_RD,S,EASTERN_FWY_W_BD_RAMPS
2827,OFFRAMP_EASTERN_FWY W of BULLEEN_RD,OFFRAMP_EASTERN_FWY,W,BULLEEN_RD
2846,S.E.ARTERIAL N OF HIGH_ST,S.E.ARTERIAL,N,HIGH_ST
2846,HIGH_ST E OF S.E.ARTERIAL,HIGH_ST,E,S.E.ARTERIAL
2846,HIGH_ST W OF WILLS_ST,HIGH_ST,W,WILLS_ST
2846,WILLS_ST NW OF HIGH_ST,WILLS_ST,NW,HIGH_ST
3001,HIGH_ST NE of BARKERS_RD,HIGH_ST,NE,BARKERS_RD
3001,BARKERS_RD E of HIGH_ST,BARKERS_RD,E,HIGH_ST
3001,CHURCH_ST SW of BARKERS_RD,CHURCH_ST,SW,BARKERS_RD
3001,BARKERS_RD W of CHURCH_ST,BARKERS_RD,W,CHURCH_ST
3002,DENMARK_ST N of BARKERS_RD,DENMARK_ST,N,BARKERS_RD
3002,BARKERS_RD E of DENMARK_ST,BARKERS_RD,E,DENMARK_ST
3002,POWER_ST S of BARKERS_RD,POWER_ST,S,BARKERS_RD
3002,BARKERS_RD W of DENMARK_ST,BARKERS_RD,W,DENMARK_ST
3120,BURKE_RD N of CANTERBURY_RD,BURKE_RD,N,CANTERBURY_RD
3120,CANTERBURY_RD E of BURKE_RD,CANTERBURY_RD,E,BURKE_RD
3120,BURKE_RD S of CANTERBURY_RD,BURKE_RD,S,CANTERBURY_RD
3120,RATHMINES_RD W of BURKE_RD,RATHMINES_RD,W,BURKE_RD
3122,CANTERBURY_RD E of STANHOPE_GV,CANTERBURY_RD,E,STANHOPE_GV
3122,STANHOPE_GV S of CANTERBURY_RD,STANHOPE_GV,S,CANTERBURY_RD
3122,CANTERBURY_RD W of STANHOPE_GV,CANTERBURY_RD,W,STANHOPE_GV
3126,CANTERBURY_RD E of WARRIGAL_RD,CANTERBURY_RD,E,WARRIGAL_RD
3126,WARRIGAL_RD S of CANTERBURY_RD,WARRIGAL_RD,S,CANTERBURY_RD
3126,CANTERBURY_RD W of WARRIGAL_RD,CANTERBURY_RD,W,WARRIGAL_RD
3127,BALWYN_RD N of CANTERBURY_RD,BALWYN_RD,N,CANTERBURY_RD
3127,CANTERBURY_RD E of BALWYN_RD,CANTERBURY_RD,E,BALWYN_RD
3127,CANTERBURY_RD W of BALWYN_RD,CANTERBURY_RD,W,BALWYN_RD
3180,DONCASTER_RD E of BALWYN_RD,DONCASTER_RD,E,BALWYN_RD
3180,BALWYN_RD S of DONCASTER_RD,BALWYN_RD,S,DONCASTER_RD
3180,DONCASTER_RD W of BALWYN_RD,DONCASTER_RD,W,BALWYN_RD
3662,PRINCESS_ST N of HIGH_ST,PRINCESS_ST,N,HIGH_ST
3662,HIGH_ST NE of PRINCESS_ST,HIGH_ST,NE,PRINCESS_ST
3662,HIGH_ST SW of DENMARK_ST,HIGH_ST,SW,DENMARK_ST
3662,STUDLEY PARK_RD W of PRINCESS_ST,STUDLEY PARK_RD,W,PRINCESS_ST
3682,WARRIGAL_RD N OF RIVERSDALE_RD,WARRIGAL_RD,N,RIVERSDALE_RD
3682,RIVERSDALE_RD E OF WARRIGAL_RD,RIVERSDALE_RD,E,WARRIGAL_RD
3682,WARRIGAL_RD S OF RIVERSDALE_RD,WARRIGAL_RD,S,RIVERSDALE_RD
3682,RIVERSDALE_RD W OF WARRIGAL_RD,RIVERSDALE_RD,W,WARRIGAL_RD
3685,WARRIGAL_RD N of HIGHBURY_RD,WARRIGAL_RD,N,HIGHBURY_RD
3685,HIGHBURY_RD E of WARRIGAL_RD,HIGHBURY_RD,E,WARRIGAL_RD
3685,WARRIGAL_RD S of HIGHBURY_RD,WARRIGAL_RD,S,HIGHBURY_RD
3804,TRAFALGAR_RD N of RIVERSDALE_RD,TRAFALGAR_RD,N,RIVERSDALE_RD
3804,RIVERSDALE_RD E of TRAFALGAR_RD,RIVERSDALE_RD,E,TRAFALGAR_RD
3804,TRAFALGAR_RD S of RIVERSDALE_RD,TRAFALGAR_RD,S,RIVERSDALE_RD
3804,RIVERSDALE_RD W of TRAFALGAR_RD,RIVERSDALE_RD,W,TRAFALGAR_RD
3812,TRAFALGAR_RD NE of CAMBERWELL_RD,TRAFALGAR_RD,NE,CAMBERWELL_RD
3812,CAMBERWELL_RD SE of TRAFALGAR_RD,CAMBERWELL_RD,SE,TRAFALGAR_RD
3812,SEYMOUR_GV W of CAMBERWELL_RD,SEYMOUR_GV,W,CAMBERWELL_RD
3812,CAMBERWELL_RD NW of TRAFALGAR_RD,CAMBERWELL_RD,NW,TRAFALGAR_RD
4030,BURKE_RD S of DONCASTER_RD,BURKE_RD,S,DONCASTER_RD
4030,HIGH_ST SW of BURKE_RD,HIGH_ST,SW,BURKE_RD
4030,KILBY_RD W of BURKE_RD,KILBY_RD,W,BURKE_RD
4032,BURKE_RD N of HARP_RD,BURKE_RD,N,HARP_RD
4032,BELMORE_RD E of BURKE_RD,BELMORE_RD,E,BURKE_RD
4032,BURKE_RD S of HARP_RD,BURKE_RD,S,HARP_RD
4032,HARP_RD W of BURKE_RD,HARP_RD,W,BURKE_RD
4034,BURKE_RD N OF WHITEHORSE_RD,BURKE_RD,N,WHITEHORSE_RD
4034,WHITEHORSE_RD E OF BURKE_RD,WHITEHORSE_RD,E,BURKE_RD
4034,BURKE_RD S OF WHITEHORSE_RD,BURKE_RD,S,WHITEHORSE_RD
4034,COTHAM_RD W OF BURKE_RD,COTHAM_RD,W,BURKE_RD
